model,country,category,sub_category,variant,T2I prompt,I2I prompt,base,edit_1,edit_2,edit_3,edit_4,edit_5
hidream,china,art,painting,modern,"Modern painting in China, photorealistic.",Change the image to represent modern painting in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_art_painting_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_art_painting_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_art_painting_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_art_painting_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_art_painting_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_art_painting_modern_5.png
hidream,china,art,painting,traditional,"Traditional painting in China, photorealistic.",Change the image to represent traditional painting in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_art_painting_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_art_painting_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_art_painting_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_art_painting_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_art_painting_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_art_painting_traditional_5.png
hidream,china,art,sculpture,general,"Sculpture in China, photorealistic.",Change the image to represent sculpture in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_art_sculpture_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_art_sculpture_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_art_sculpture_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_art_sculpture_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_art_sculpture_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_art_sculpture_general_5.png
hidream,china,art,sculpture,modern,"Modern sculpture in China, photorealistic.",Change the image to represent modern sculpture in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_art_sculpture_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_art_sculpture_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_art_sculpture_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_art_sculpture_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_art_sculpture_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_art_sculpture_modern_5.png
hidream,china,art,sculpture,traditional,"Traditional sculpture in China, photorealistic.",Change the image to represent traditional sculpture in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_art_sculpture_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_art_sculpture_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_art_sculpture_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_art_sculpture_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_art_sculpture_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_art_sculpture_traditional_5.png
hidream,china,event,festival,general,"Festival in China, photorealistic.",Change the image to represent festival in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_festival_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_festival_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_festival_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_festival_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_festival_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_festival_general_5.png
hidream,china,event,festival,modern,"Modern festival in China, photorealistic.",Change the image to represent modern festival in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_festival_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_festival_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_festival_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_festival_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_festival_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_festival_modern_5.png
hidream,china,event,festival,traditional,"Traditional festival in China, photorealistic.",Change the image to represent traditional festival in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_festival_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_festival_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_festival_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_festival_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_festival_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_festival_traditional_5.png
hidream,china,event,funeral,general,"Funeral in China, photorealistic.",Change the image to represent funeral in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_funeral_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_funeral_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_funeral_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_funeral_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_funeral_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_funeral_general_5.png
hidream,china,event,funeral,modern,"Modern funeral in China, photorealistic.",Change the image to represent modern funeral in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_funeral_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_funeral_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_funeral_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_funeral_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_funeral_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_funeral_modern_5.png
hidream,china,event,funeral,traditional,"Traditional funeral in China, photorealistic.",Change the image to represent traditional funeral in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_funeral_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_funeral_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_funeral_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_funeral_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_funeral_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_funeral_traditional_5.png
hidream,china,event,game,general,"Game in China, photorealistic.",Change the image to represent game in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_game_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_game_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_game_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_game_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_game_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_game_general_5.png
hidream,china,event,game,modern,"Modern game in China, photorealistic.",Change the image to represent modern game in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_game_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_game_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_game_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_game_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_game_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_game_modern_5.png
hidream,china,event,game,traditional,"Traditional game in China, photorealistic.",Change the image to represent traditional game in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_game_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_game_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_game_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_game_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_game_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_game_traditional_5.png
hidream,china,event,religious_ritual,general,"Religious ritual in China, photorealistic.",Change the image to represent religious ritual in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_religious_ritual_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_religious_ritual_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_religious_ritual_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_religious_ritual_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_religious_ritual_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_religious_ritual_general_5.png
hidream,china,event,religious_ritual,modern,"Modern eligious ritual in China, photorealistic.",Change the image to represent modern religious ritual in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_religious_ritual_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_religious_ritual_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_religious_ritual_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_religious_ritual_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_religious_ritual_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_religious_ritual_modern_5.png
hidream,china,event,religious_ritual,traditional,"Traditional religious ritual in China, photorealistic.",Change the image to represent traditional religious ritual in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_religious_ritual_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_religious_ritual_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_religious_ritual_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_religious_ritual_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_religious_ritual_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_religious_ritual_traditional_5.png
hidream,china,event,sport,general,"Sport in China, photorealistic.",Change the image to represent sport in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_sport_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_sport_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_sport_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_sport_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_sport_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_sport_general_5.png
hidream,china,event,sport,modern,"Modern sport in China, photorealistic.",Change the image to represent modern sport in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_sport_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_sport_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_sport_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_sport_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_sport_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_sport_modern_5.png
hidream,china,event,sport,traditional,"Traditional sport in China, photorealistic.",Change the image to represent traditional sport in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_sport_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_sport_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_sport_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_sport_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_sport_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_sport_traditional_5.png
hidream,china,event,wedding,general,"Wedding in China, photorealistic.",Change the image to represent wedding in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_wedding_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_wedding_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_wedding_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_wedding_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_wedding_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_wedding_general_5.png
hidream,china,event,wedding,modern,"Modern wedding in China, photorealistic.",Change the image to represent modern wedding in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_wedding_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_wedding_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_wedding_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_wedding_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_wedding_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_wedding_modern_5.png
hidream,china,event,wedding,traditional,"Traditional wedding in China, photorealistic.",Change the image to represent traditional wedding in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_event_wedding_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_event_wedding_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_event_wedding_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_event_wedding_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_event_wedding_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_event_wedding_traditional_5.png
hidream,china,fashion,accessories,general,"Accessories in China, photorealistic.",Change the image to represent accessories in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_fashion_accessories_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_fashion_accessories_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_fashion_accessories_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_fashion_accessories_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_fashion_accessories_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_fashion_accessories_general_5.png
hidream,china,fashion,accessories,modern,"Modern accessories in China, photorealistic.",Change the image to represent modern accessories in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_fashion_accessories_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_fashion_accessories_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_fashion_accessories_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_fashion_accessories_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_fashion_accessories_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_fashion_accessories_modern_5.png
hidream,china,fashion,accessories,traditional,"Traditional accessories in China, photorealistic.",Change the image to represent traditional accessories in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_fashion_accessories_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_fashion_accessories_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_fashion_accessories_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_fashion_accessories_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_fashion_accessories_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_fashion_accessories_traditional_5.png
hidream,china,fashion,clothing,general,"Clothing in China, photorealistic.",Change the image to represent clothing in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_fashion_clothing_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_fashion_clothing_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_fashion_clothing_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_fashion_clothing_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_fashion_clothing_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_fashion_clothing_general_5.png
hidream,china,fashion,clothing,modern,"Modern clothing in China, photorealistic.",Change the image to represent modern clothing in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_fashion_clothing_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_fashion_clothing_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_fashion_clothing_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_fashion_clothing_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_fashion_clothing_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_fashion_clothing_modern_5.png
hidream,china,fashion,clothing,traditional,"Traditional clothing in China, photorealistic.",Change the image to represent traditional clothing in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_fashion_clothing_traditional.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_fashion_clothing_traditional_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_fashion_clothing_traditional_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_fashion_clothing_traditional_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_fashion_clothing_traditional_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_fashion_clothing_traditional_5.png
hidream,china,fashion,makeup,general,"Makeup in China, photorealistic.",Change the image to represent makeup in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_fashion_makeup_general.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_fashion_makeup_general_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_fashion_makeup_general_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_fashion_makeup_general_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_fashion_makeup_general_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_fashion_makeup_general_5.png
hidream,china,fashion,makeup,modern,"Modern makeup in China, photorealistic.",Change the image to represent modern makeup in China.,https://ecb-pub.s3.amazonaws.com/hidream/base/hidream_china_fashion_makeup_modern.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_1/hidream_china_fashion_makeup_modern_1.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_2/hidream_china_fashion_makeup_modern_2.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_3/hidream_china_fashion_makeup_modern_3.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_4/hidream_china_fashion_makeup_modern_4.png,https://ecb-pub.s3.amazonaws.com/hidream/edit_5/hidream_china_fashion_makeup_modern_5.png
